0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/ HTTP/1.1" 403 717
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 503 1788
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/adjuncts/8837540b/org/kohsuke/stapler/bind.js HTTP/1.1" 503 1788
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/adjuncts/8837540b/lib/layout/breadcrumbs.js HTTP/1.1" 503 1788
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/adjuncts/8837540b/lib/layout/breadcrumbs.css HTTP/1.1" 503 1788
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/jsbundles/pluginSetupWizard.js HTTP/1.1" 200 68863
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/jsbundles/pluginSetupWizard.css HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/assets/bootstrap/jsmodules/bootstrap3.js HTTP/1.1" 200 18747
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 200 39262
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/assets/handlebars/jsmodules/handlebars3.js HTTP/1.1" 200 63821
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/assets/bootstrap/jsmodules/bootstrap3/style.css HTTP/1.1" 200 22416
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 6636
